date,season,is_weekend,weather
2022-04-19,spring,False,Clear
2022-04-20,spring,False,Clear
2022-04-21,spring,False,Cloudy
2022-04-22,spring,False,Windy
2022-04-23,spring,True,Clear
2022-04-24,spring,True,Windy
2022-04-25,spring,False,Clear
2022-04-26,spring,False,Cloudy
2022-04-27,spring,False,Cloudy
2022-04-28,spring,False,Clear
2022-04-29,spring,False,Clear
2022-04-30,spring,True,Cloudy
2022-05-01,summer,True,Clear
2022-05-02,summer,False,Hot-Hazy
2022-05-03,summer,False,Hot-Hazy
2022-05-04,summer,False,Hot-Hazy
2022-05-05,summer,False,Hot-Hazy
2022-05-06,summer,False,Clear
2022-05-07,summer,True,Clear
2022-05-08,summer,True,Clear
2022-05-09,summer,False,Clear
2022-05-10,summer,False,Clear
2022-05-11,summer,False,Cloudy
2022-05-12,summer,False,Hot-Hazy
2022-05-13,summer,False,Clear
2022-05-14,summer,True,Clear
2022-05-15,summer,True,Cloudy
2022-05-16,summer,False,Hot-Hazy
2022-05-17,summer,False,Cloudy
2022-05-18,summer,False,Hot-Hazy
2022-05-19,summer,False,Hot-Hazy
2022-05-20,summer,False,Cloudy
2022-05-21,summer,True,Hot-Hazy
2022-05-22,summer,True,Hot-Hazy
2022-05-23,summer,False,Hot-Hazy
2022-05-24,summer,False,Cloudy
2022-05-25,summer,False,Hot-Hazy
2022-05-26,summer,False,Cloudy
2022-05-27,summer,False,Clear
2022-05-28,summer,True,Hot-Hazy
2022-05-29,summer,True,Hot-Hazy
2022-05-30,summer,False,Cloudy
2022-05-31,summer,False,Clear
2022-06-01,summer,False,Cloudy
2022-06-02,summer,False,Hot-Hazy
2022-06-03,summer,False,Hot-Hazy
2022-06-04,summer,True,Hot-Hazy
2022-06-05,summer,True,Cloudy
2022-06-06,summer,False,Clear
2022-06-07,summer,False,Clear
2022-06-08,summer,False,Clear
2022-06-09,summer,False,Clear
2022-06-10,summer,False,Clear
2022-06-11,summer,True,Cloudy
2022-06-12,summer,True,Cloudy
2022-06-13,summer,False,Clear
2022-06-14,summer,False,Hot-Hazy
2022-06-15,summer,False,Hot-Hazy
2022-06-16,summer,False,Hot-Hazy
2022-06-17,summer,False,Hot-Hazy
2022-06-18,summer,True,Clear
2022-06-19,summer,True,Cloudy
2022-06-20,summer,False,Hot-Hazy
2022-06-21,summer,False,Hot-Hazy
2022-06-22,summer,False,Hot-Hazy
2022-06-23,summer,False,Clear
2022-06-24,summer,False,Clear
2022-06-25,summer,True,Hot-Hazy
2022-06-26,summer,True,Hot-Hazy
2022-06-27,summer,False,Cloudy
2022-06-28,summer,False,Hot-Hazy
2022-06-29,summer,False,Clear
2022-06-30,summer,False,Cloudy
2022-07-01,monsoon,False,Cloudy
2022-07-02,monsoon,True,Clear
2022-07-03,monsoon,True,Cloudy
2022-07-04,monsoon,False,Clear
2022-07-05,monsoon,False,Rainy
2022-07-06,monsoon,False,Rainy
2022-07-07,monsoon,False,Rainy
2022-07-08,monsoon,False,Rainy
2022-07-09,monsoon,True,Rainy
2022-07-10,monsoon,True,Rainy
2022-07-11,monsoon,False,Cloudy
2022-07-12,monsoon,False,Rainy
2022-07-13,monsoon,False,Cloudy
2022-07-14,monsoon,False,Rainy
2022-07-15,monsoon,False,Cloudy
2022-07-16,monsoon,True,Rainy
2022-07-17,monsoon,True,Rainy
2022-07-18,monsoon,False,Clear
2022-07-19,monsoon,False,Cloudy
2022-07-20,monsoon,False,Cloudy
2022-07-21,monsoon,False,Cloudy
2022-07-22,monsoon,False,Cloudy
2022-07-23,monsoon,True,Rainy
2022-07-24,monsoon,True,Cloudy
2022-07-25,monsoon,False,Rainy
2022-07-26,monsoon,False,Cloudy
2022-07-27,monsoon,False,Clear
2022-07-28,monsoon,False,Clear
2022-07-29,monsoon,False,Rainy
2022-07-30,monsoon,True,Rainy
2022-07-31,monsoon,True,Rainy
2022-08-01,monsoon,False,Rainy
2022-08-02,monsoon,False,Cloudy
2022-08-03,monsoon,False,Cloudy
2022-08-04,monsoon,False,Rainy
2022-08-05,monsoon,False,Clear
2022-08-06,monsoon,True,Cloudy
2022-08-07,monsoon,True,Rainy
2022-08-08,monsoon,False,Cloudy
2022-08-09,monsoon,False,Clear
2022-08-10,monsoon,False,Rainy
2022-08-11,monsoon,False,Cloudy
2022-08-12,monsoon,False,Cloudy
2022-08-13,monsoon,True,Cloudy
2022-08-14,monsoon,True,Rainy
2022-08-15,monsoon,False,Cloudy
2022-08-16,monsoon,False,Cloudy
2022-08-17,monsoon,False,Cloudy
2022-08-18,monsoon,False,Cloudy
2022-08-19,monsoon,False,Rainy
2022-08-20,monsoon,True,Cloudy
2022-08-21,monsoon,True,Clear
2022-08-22,monsoon,False,Clear
2022-08-23,monsoon,False,Rainy
2022-08-24,monsoon,False,Rainy
2022-08-25,monsoon,False,Cloudy
2022-08-26,monsoon,False,Rainy
2022-08-27,monsoon,True,Cloudy
2022-08-28,monsoon,True,Clear
2022-08-29,monsoon,False,Rainy
2022-08-30,monsoon,False,Rainy
2022-08-31,monsoon,False,Rainy
2022-09-01,monsoon,False,Cloudy
2022-09-02,monsoon,False,Rainy
2022-09-03,monsoon,True,Rainy
2022-09-04,monsoon,True,Rainy
2022-09-05,monsoon,False,Cloudy
2022-09-06,monsoon,False,Cloudy
2022-09-07,monsoon,False,Rainy
2022-09-08,monsoon,False,Rainy
2022-09-09,monsoon,False,Cloudy
2022-09-10,monsoon,True,Rainy
2022-09-11,monsoon,True,Rainy
2022-09-12,monsoon,False,Rainy
2022-09-13,monsoon,False,Rainy
2022-09-14,monsoon,False,Rainy
2022-09-15,monsoon,False,Cloudy
2022-09-16,monsoon,False,Cloudy
2022-09-17,monsoon,True,Rainy
2022-09-18,monsoon,True,Rainy
2022-09-19,monsoon,False,Cloudy
2022-09-20,monsoon,False,Rainy
2022-09-21,monsoon,False,Rainy
2022-09-22,monsoon,False,Rainy
2022-09-23,monsoon,False,Rainy
2022-09-24,monsoon,True,Clear
2022-09-25,monsoon,True,Rainy
2022-09-26,monsoon,False,Rainy
2022-09-27,monsoon,False,Cloudy
2022-09-28,monsoon,False,Cloudy
2022-09-29,monsoon,False,Rainy
2022-09-30,monsoon,False,Rainy
2022-10-01,autumn,True,Hazy
2022-10-02,autumn,True,Clear
2022-10-03,autumn,False,Cloudy
2022-10-04,autumn,False,Clear
2022-10-05,autumn,False,Cloudy
2022-10-06,autumn,False,Cloudy
2022-10-07,autumn,False,Cloudy
2022-10-08,autumn,True,Cloudy
2022-10-09,autumn,True,Clear
2022-10-10,autumn,False,Clear
2022-10-11,autumn,False,Cloudy
2022-10-12,autumn,False,Cloudy
2022-10-13,autumn,False,Clear
2022-10-14,autumn,False,Clear
2022-10-15,autumn,True,Cloudy
2022-10-16,autumn,True,Cloudy
2022-10-17,autumn,False,Hazy
2022-10-18,autumn,False,Clear
2022-10-19,autumn,False,Clear
2022-10-20,autumn,False,Cloudy
2022-10-21,autumn,False,Cloudy
2022-10-22,autumn,True,Cloudy
2022-10-23,autumn,True,Hazy
2022-10-24,autumn,False,Hazy
2022-10-25,autumn,False,Cloudy
2022-10-26,autumn,False,Cloudy
2022-10-27,autumn,False,Clear
2022-10-28,autumn,False,Cloudy
2022-10-29,autumn,True,Clear
2022-10-30,autumn,True,Cloudy
2022-10-31,autumn,False,Cloudy
2022-11-01,autumn,False,Cloudy
2022-11-02,autumn,False,Clear
2022-11-03,autumn,False,Clear
2022-11-04,autumn,False,Clear
2022-11-05,autumn,True,Clear
2022-11-06,autumn,True,Cloudy
2022-11-07,autumn,False,Cloudy
2022-11-08,autumn,False,Clear
2022-11-09,autumn,False,Cloudy
2022-11-10,autumn,False,Cloudy
2022-11-11,autumn,False,Clear
2022-11-12,autumn,True,Cloudy
2022-11-13,autumn,True,Hazy
2022-11-14,autumn,False,Clear
2022-11-15,autumn,False,Clear
2022-11-16,autumn,False,Cloudy
2022-11-17,autumn,False,Hazy
2022-11-18,autumn,False,Clear
2022-11-19,autumn,True,Cloudy
2022-11-20,autumn,True,Cloudy
2022-11-21,autumn,False,Hazy
2022-11-22,autumn,False,Clear
2022-11-23,autumn,False,Clear
2022-11-24,autumn,False,Hazy
2022-11-25,autumn,False,Clear
2022-11-26,autumn,True,Clear
2022-11-27,autumn,True,Cloudy
2022-11-28,autumn,False,Clear
2022-11-29,autumn,False,Cloudy
2022-11-30,autumn,False,Clear
2022-12-01,winter,False,Clear
2022-12-02,winter,False,Foggy
2022-12-03,winter,True,Cloudy
2022-12-04,winter,True,Foggy
2022-12-05,winter,False,Cold-Clear
2022-12-06,winter,False,Foggy
2022-12-07,winter,False,Cold-Clear
2022-12-08,winter,False,Cold-Clear
2022-12-09,winter,False,Cloudy
2022-12-10,winter,True,Cold-Clear
2022-12-11,winter,True,Foggy
2022-12-12,winter,False,Clear
2022-12-13,winter,False,Cloudy
2022-12-14,winter,False,Clear
2022-12-15,winter,False,Foggy
2022-12-16,winter,False,Cold-Clear
2022-12-17,winter,True,Foggy
2022-12-18,winter,True,Foggy
2022-12-19,winter,False,Foggy
2022-12-20,winter,False,Cold-Clear
2022-12-21,winter,False,Foggy
2022-12-22,winter,False,Foggy
2022-12-23,winter,False,Cloudy
2022-12-24,winter,True,Cold-Clear
2022-12-25,winter,True,Foggy
2022-12-26,winter,False,Cloudy
2022-12-27,winter,False,Foggy
2022-12-28,winter,False,Cold-Clear
2022-12-29,winter,False,Foggy
2022-12-30,winter,False,Cold-Clear
2022-12-31,winter,True,Cold-Clear
2023-01-01,winter,True,Cold-Clear
2023-01-02,winter,False,Cold-Clear
2023-01-03,winter,False,Cloudy
2023-01-04,winter,False,Cloudy
2023-01-05,winter,False,Foggy
2023-01-06,winter,False,Foggy
2023-01-07,winter,True,Foggy
2023-01-08,winter,True,Clear
2023-01-09,winter,False,Clear
2023-01-10,winter,False,Foggy
2023-01-11,winter,False,Clear
2023-01-12,winter,False,Foggy
2023-01-13,winter,False,Cold-Clear
2023-01-14,winter,True,Cold-Clear
2023-01-15,winter,True,Clear
2023-01-16,winter,False,Foggy
2023-01-17,winter,False,Cold-Clear
2023-01-18,winter,False,Cold-Clear
2023-01-19,winter,False,Foggy
2023-01-20,winter,False,Foggy
2023-01-21,winter,True,Cold-Clear
2023-01-22,winter,True,Cloudy
2023-01-23,winter,False,Cloudy
2023-01-24,winter,False,Cloudy
2023-01-25,winter,False,Cloudy
2023-01-26,winter,False,Cloudy
2023-01-27,winter,False,Cloudy
2023-01-28,winter,True,Cloudy
2023-01-29,winter,True,Cloudy
2023-01-30,winter,False,Cold-Clear
2023-01-31,winter,False,Foggy
2023-02-01,winter,False,Cloudy
2023-02-02,winter,False,Foggy
2023-02-03,winter,False,Clear
2023-02-04,winter,True,Cold-Clear
2023-02-05,winter,True,Cold-Clear
2023-02-06,winter,False,Clear
2023-02-07,winter,False,Foggy
2023-02-08,winter,False,Cold-Clear
2023-02-09,winter,False,Foggy
2023-02-10,winter,False,Clear
2023-02-11,winter,True,Cold-Clear
2023-02-12,winter,True,Cloudy
2023-02-13,winter,False,Foggy
2023-02-14,winter,False,Cloudy
2023-02-15,winter,False,Cloudy
2023-02-16,winter,False,Cold-Clear
2023-02-17,winter,False,Clear
2023-02-18,winter,True,Cold-Clear
2023-02-19,winter,True,Cold-Clear
2023-02-20,winter,False,Cloudy
2023-02-21,winter,False,Cloudy
2023-02-22,winter,False,Cold-Clear
2023-02-23,winter,False,Cloudy
2023-02-24,winter,False,Foggy
2023-02-25,winter,True,Cold-Clear
2023-02-26,winter,True,Cloudy
2023-02-27,winter,False,Foggy
2023-02-28,winter,False,Cloudy
2023-03-01,spring,False,Clear
2023-03-02,spring,False,Windy
2023-03-03,spring,False,Clear
2023-03-04,spring,True,Clear
2023-03-05,spring,True,Cloudy
2023-03-06,spring,False,Clear
2023-03-07,spring,False,Cloudy
2023-03-08,spring,False,Clear
2023-03-09,spring,False,Cloudy
2023-03-10,spring,False,Cloudy
2023-03-11,spring,True,Windy
2023-03-12,spring,True,Clear
2023-03-13,spring,False,Clear
2023-03-14,spring,False,Cloudy
2023-03-15,spring,False,Cloudy
2023-03-16,spring,False,Clear
2023-03-17,spring,False,Cloudy
2023-03-18,spring,True,Clear
2023-03-19,spring,True,Clear
2023-03-20,spring,False,Windy
2023-03-21,spring,False,Clear
2023-03-22,spring,False,Clear
2023-03-23,spring,False,Cloudy
2023-03-24,spring,False,Cloudy
2023-03-25,spring,True,Cloudy
2023-03-26,spring,True,Cloudy
2023-03-27,spring,False,Clear
2023-03-28,spring,False,Cloudy
2023-03-29,spring,False,Cloudy
2023-03-30,spring,False,Cloudy
2023-03-31,spring,False,Cloudy
2023-04-01,spring,True,Clear
2023-04-02,spring,True,Cloudy
2023-04-03,spring,False,Clear
2023-04-04,spring,False,Cloudy
2023-04-05,spring,False,Clear
2023-04-06,spring,False,Clear
2023-04-07,spring,False,Cloudy
2023-04-08,spring,True,Clear
2023-04-09,spring,True,Clear
2023-04-10,spring,False,Cloudy
2023-04-11,spring,False,Clear
2023-04-12,spring,False,Cloudy
2023-04-13,spring,False,Cloudy
2023-04-14,spring,False,Clear
2023-04-15,spring,True,Cloudy
2023-04-16,spring,True,Clear
2023-04-17,spring,False,Clear
2023-04-18,spring,False,Windy
2023-04-19,spring,False,Cloudy
2023-04-20,spring,False,Cloudy
2023-04-21,spring,False,Cloudy
2023-04-22,spring,True,Cloudy
2023-04-23,spring,True,Cloudy
2023-04-24,spring,False,Clear
2023-04-25,spring,False,Clear
2023-04-26,spring,False,Clear
2023-04-27,spring,False,Clear
2023-04-28,spring,False,Clear
2023-04-29,spring,True,Windy
2023-04-30,spring,True,Clear
2023-05-01,summer,False,Hot-Hazy
2023-05-02,summer,False,Clear
2023-05-03,summer,False,Hot-Hazy
2023-05-04,summer,False,Cloudy
2023-05-05,summer,False,Cloudy
2023-05-06,summer,True,Clear
2023-05-07,summer,True,Clear
2023-05-08,summer,False,Cloudy
2023-05-09,summer,False,Hot-Hazy
2023-05-10,summer,False,Hot-Hazy
2023-05-11,summer,False,Clear
2023-05-12,summer,False,Cloudy
2023-05-13,summer,True,Clear
2023-05-14,summer,True,Hot-Hazy
2023-05-15,summer,False,Clear
2023-05-16,summer,False,Hot-Hazy
2023-05-17,summer,False,Cloudy
2023-05-18,summer,False,Cloudy
2023-05-19,summer,False,Hot-Hazy
2023-05-20,summer,True,Hot-Hazy
2023-05-21,summer,True,Hot-Hazy
2023-05-22,summer,False,Clear
2023-05-23,summer,False,Hot-Hazy
2023-05-24,summer,False,Clear
2023-05-25,summer,False,Clear
2023-05-26,summer,False,Hot-Hazy
2023-05-27,summer,True,Hot-Hazy
2023-05-28,summer,True,Clear
2023-05-29,summer,False,Hot-Hazy
2023-05-30,summer,False,Cloudy
2023-05-31,summer,False,Hot-Hazy
2023-06-01,summer,False,Clear
2023-06-02,summer,False,Hot-Hazy
2023-06-03,summer,True,Clear
2023-06-04,summer,True,Hot-Hazy
2023-06-05,summer,False,Clear
2023-06-06,summer,False,Hot-Hazy
2023-06-07,summer,False,Clear
2023-06-08,summer,False,Hot-Hazy
2023-06-09,summer,False,Hot-Hazy
2023-06-10,summer,True,Hot-Hazy
2023-06-11,summer,True,Clear
2023-06-12,summer,False,Cloudy
2023-06-13,summer,False,Clear
2023-06-14,summer,False,Clear
2023-06-15,summer,False,Clear
2023-06-16,summer,False,Clear
2023-06-17,summer,True,Hot-Hazy
2023-06-18,summer,True,Hot-Hazy
2023-06-19,summer,False,Hot-Hazy
2023-06-20,summer,False,Clear
2023-06-21,summer,False,Clear
2023-06-22,summer,False,Clear
2023-06-23,summer,False,Hot-Hazy
2023-06-24,summer,True,Hot-Hazy
2023-06-25,summer,True,Cloudy
2023-06-26,summer,False,Hot-Hazy
2023-06-27,summer,False,Hot-Hazy
2023-06-28,summer,False,Hot-Hazy
2023-06-29,summer,False,Hot-Hazy
2023-06-30,summer,False,Clear
2023-07-01,monsoon,True,Rainy
2023-07-02,monsoon,True,Rainy
2023-07-03,monsoon,False,Rainy
2023-07-04,monsoon,False,Rainy
2023-07-05,monsoon,False,Rainy
2023-07-06,monsoon,False,Cloudy
2023-07-07,monsoon,False,Rainy
2023-07-08,monsoon,True,Rainy
2023-07-09,monsoon,True,Rainy
2023-07-10,monsoon,False,Rainy
2023-07-11,monsoon,False,Clear
2023-07-12,monsoon,False,Rainy
2023-07-13,monsoon,False,Rainy
2023-07-14,monsoon,False,Rainy
2023-07-15,monsoon,True,Rainy
2023-07-16,monsoon,True,Rainy
2023-07-17,monsoon,False,Rainy
2023-07-18,monsoon,False,Rainy
2023-07-19,monsoon,False,Rainy
2023-07-20,monsoon,False,Cloudy
2023-07-21,monsoon,False,Rainy
2023-07-22,monsoon,True,Cloudy
2023-07-23,monsoon,True,Rainy
2023-07-24,monsoon,False,Rainy
2023-07-25,monsoon,False,Cloudy
2023-07-26,monsoon,False,Rainy
2023-07-27,monsoon,False,Clear
2023-07-28,monsoon,False,Clear
2023-07-29,monsoon,True,Cloudy
2023-07-30,monsoon,True,Rainy
2023-07-31,monsoon,False,Cloudy
2023-08-01,monsoon,False,Cloudy
2023-08-02,monsoon,False,Cloudy
2023-08-03,monsoon,False,Rainy
2023-08-04,monsoon,False,Clear
2023-08-05,monsoon,True,Clear
2023-08-06,monsoon,True,Rainy
2023-08-07,monsoon,False,Rainy
2023-08-08,monsoon,False,Rainy
2023-08-09,monsoon,False,Cloudy
2023-08-10,monsoon,False,Clear
2023-08-11,monsoon,False,Clear
2023-08-12,monsoon,True,Cloudy
2023-08-13,monsoon,True,Cloudy
2023-08-14,monsoon,False,Cloudy
2023-08-15,monsoon,False,Cloudy
2023-08-16,monsoon,False,Clear
2023-08-17,monsoon,False,Cloudy
2023-08-18,monsoon,False,Rainy
2023-08-19,monsoon,True,Cloudy
2023-08-20,monsoon,True,Rainy
2023-08-21,monsoon,False,Cloudy
2023-08-22,monsoon,False,Cloudy
2023-08-23,monsoon,False,Rainy
2023-08-24,monsoon,False,Clear
2023-08-25,monsoon,False,Cloudy
2023-08-26,monsoon,True,Rainy
2023-08-27,monsoon,True,Rainy
2023-08-28,monsoon,False,Rainy
2023-08-29,monsoon,False,Rainy
2023-08-30,monsoon,False,Rainy
2023-08-31,monsoon,False,Rainy
2023-09-01,monsoon,False,Clear
2023-09-02,monsoon,True,Rainy
2023-09-03,monsoon,True,Clear
2023-09-04,monsoon,False,Cloudy
2023-09-05,monsoon,False,Clear
2023-09-06,monsoon,False,Rainy
2023-09-07,monsoon,False,Rainy
2023-09-08,monsoon,False,Cloudy
2023-09-09,monsoon,True,Rainy
2023-09-10,monsoon,True,Rainy
2023-09-11,monsoon,False,Cloudy
2023-09-12,monsoon,False,Cloudy
2023-09-13,monsoon,False,Rainy
2023-09-14,monsoon,False,Rainy
2023-09-15,monsoon,False,Clear
2023-09-16,monsoon,True,Rainy
2023-09-17,monsoon,True,Cloudy
2023-09-18,monsoon,False,Rainy
2023-09-19,monsoon,False,Cloudy
2023-09-20,monsoon,False,Rainy
2023-09-21,monsoon,False,Cloudy
2023-09-22,monsoon,False,Rainy
2023-09-23,monsoon,True,Cloudy
2023-09-24,monsoon,True,Cloudy
2023-09-25,monsoon,False,Rainy
2023-09-26,monsoon,False,Rainy
2023-09-27,monsoon,False,Cloudy
2023-09-28,monsoon,False,Cloudy
2023-09-29,monsoon,False,Rainy
2023-09-30,monsoon,True,Cloudy
2023-10-01,autumn,True,Clear
2023-10-02,autumn,False,Hazy
2023-10-03,autumn,False,Clear
2023-10-04,autumn,False,Cloudy
2023-10-05,autumn,False,Cloudy
2023-10-06,autumn,False,Cloudy
2023-10-07,autumn,True,Clear
2023-10-08,autumn,True,Cloudy
2023-10-09,autumn,False,Cloudy
2023-10-10,autumn,False,Clear
2023-10-11,autumn,False,Clear
2023-10-12,autumn,False,Hazy
2023-10-13,autumn,False,Cloudy
2023-10-14,autumn,True,Clear
2023-10-15,autumn,True,Cloudy
2023-10-16,autumn,False,Clear
2023-10-17,autumn,False,Clear
2023-10-18,autumn,False,Hazy
2023-10-19,autumn,False,Clear
2023-10-20,autumn,False,Clear
2023-10-21,autumn,True,Clear
2023-10-22,autumn,True,Clear
2023-10-23,autumn,False,Clear
2023-10-24,autumn,False,Clear
2023-10-25,autumn,False,Clear
2023-10-26,autumn,False,Clear
2023-10-27,autumn,False,Clear
2023-10-28,autumn,True,Clear
2023-10-29,autumn,True,Cloudy
2023-10-30,autumn,False,Hazy
2023-10-31,autumn,False,Clear
2023-11-01,autumn,False,Cloudy
2023-11-02,autumn,False,Cloudy
2023-11-03,autumn,False,Clear
2023-11-04,autumn,True,Clear
2023-11-05,autumn,True,Hazy
2023-11-06,autumn,False,Clear
2023-11-07,autumn,False,Cloudy
2023-11-08,autumn,False,Clear
2023-11-09,autumn,False,Cloudy
2023-11-10,autumn,False,Hazy
2023-11-11,autumn,True,Hazy
2023-11-12,autumn,True,Clear
2023-11-13,autumn,False,Cloudy
2023-11-14,autumn,False,Clear
2023-11-15,autumn,False,Cloudy
2023-11-16,autumn,False,Clear
2023-11-17,autumn,False,Clear
2023-11-18,autumn,True,Cloudy
2023-11-19,autumn,True,Clear
2023-11-20,autumn,False,Clear
2023-11-21,autumn,False,Hazy
2023-11-22,autumn,False,Clear
2023-11-23,autumn,False,Clear
2023-11-24,autumn,False,Clear
2023-11-25,autumn,True,Clear
2023-11-26,autumn,True,Clear
2023-11-27,autumn,False,Cloudy
2023-11-28,autumn,False,Hazy
2023-11-29,autumn,False,Cloudy
2023-11-30,autumn,False,Cloudy
2023-12-01,winter,False,Cold-Clear
2023-12-02,winter,True,Cold-Clear
2023-12-03,winter,True,Cloudy
2023-12-04,winter,False,Cold-Clear
2023-12-05,winter,False,Cloudy
2023-12-06,winter,False,Cold-Clear
2023-12-07,winter,False,Foggy
2023-12-08,winter,False,Cold-Clear
2023-12-09,winter,True,Cold-Clear
2023-12-10,winter,True,Foggy
2023-12-11,winter,False,Cold-Clear
2023-12-12,winter,False,Cloudy
2023-12-13,winter,False,Foggy
2023-12-14,winter,False,Cold-Clear
2023-12-15,winter,False,Cloudy
2023-12-16,winter,True,Cold-Clear
2023-12-17,winter,True,Foggy
2023-12-18,winter,False,Cold-Clear
2023-12-19,winter,False,Cold-Clear
2023-12-20,winter,False,Cloudy
2023-12-21,winter,False,Cold-Clear
2023-12-22,winter,False,Foggy
2023-12-23,winter,True,Cloudy
2023-12-24,winter,True,Clear
2023-12-25,winter,False,Foggy
2023-12-26,winter,False,Foggy
2023-12-27,winter,False,Foggy
2023-12-28,winter,False,Cloudy
2023-12-29,winter,False,Clear
2023-12-30,winter,True,Foggy
2023-12-31,winter,True,Cold-Clear
2024-01-01,winter,False,Foggy
2024-01-02,winter,False,Cold-Clear
2024-01-03,winter,False,Clear
2024-01-04,winter,False,Foggy
2024-01-05,winter,False,Foggy
2024-01-06,winter,True,Cold-Clear
2024-01-07,winter,True,Cold-Clear
2024-01-08,winter,False,Cloudy
2024-01-09,winter,False,Cold-Clear
2024-01-10,winter,False,Foggy
2024-01-11,winter,False,Cold-Clear
2024-01-12,winter,False,Clear
2024-01-13,winter,True,Cloudy
2024-01-14,winter,True,Foggy
2024-01-15,winter,False,Cloudy
2024-01-16,winter,False,Cold-Clear
2024-01-17,winter,False,Cloudy
2024-01-18,winter,False,Foggy
2024-01-19,winter,False,Cloudy
2024-01-20,winter,True,Foggy
2024-01-21,winter,True,Cold-Clear
2024-01-22,winter,False,Cloudy
2024-01-23,winter,False,Cold-Clear
2024-01-24,winter,False,Foggy
2024-01-25,winter,False,Foggy
2024-01-26,winter,False,Foggy
2024-01-27,winter,True,Foggy
2024-01-28,winter,True,Foggy
2024-01-29,winter,False,Foggy
2024-01-30,winter,False,Cold-Clear
2024-01-31,winter,False,Cold-Clear
2024-02-01,winter,False,Cold-Clear
2024-02-02,winter,False,Foggy
2024-02-03,winter,True,Foggy
2024-02-04,winter,True,Cold-Clear
2024-02-05,winter,False,Cloudy
