locality_id,locality_name,district,latitude,longitude,area_type,road_type,police_station_dist_km,hospital_dist_km,nearest_hospital,metro_dist_km,nearest_metro,market_density,school_density,population_density_proxy,baseline_tendency,volatility,night_sensitivity,weekend_sensitivity
L0012,Kamla Market,Central,28.64008,77.21682,market-zone,local,2.27,1.48,RML Hospital,1.06,Rajiv Chowk,7,2,28.0,0.677,0.653,1.153,0.095
L0013,Anand Parbat Phase 2,Central,28.65485,77.22737,residential,local,0.33,1.72,LNJP Hospital,0.64,Chandni Chowk,1,3,27.3,-0.084,1.269,1.634,0.463
L0014,Nabi Karim Phase 1,Central,28.64948,77.2002,residential,local,2.3,1.82,Ganga Ram Hospital,0.87,Karol Bagh,1,5,20.9,-0.031,0.437,0.957,0.18
L0015,Nabi Karim Colony,Central,28.65353,77.23852,residential,highway-adjacent,1.63,0.98,LNJP Hospital,0.74,Chandni Chowk,3,8,31.3,-1.685,1.082,0.71,0.83
L0016,Jama Masjid Block B,Central,28.64399,77.2318,residential,local,2.24,0.65,LNJP Hospital,0.8,Chandni Chowk,2,7,20.7,1.656,1.312,0.829,-1.204
L0017,Jama Masjid Colony,Central,28.63119,77.23176,mixed,arterial,1.31,1.73,LNJP Hospital,1.04,Rajiv Chowk,3,5,26.5,-0.477,2.214,0.796,0.892
L0018,Karol Bagh Extension,Central,28.66343,77.22492,market-zone,collector,0.48,2.72,LNJP Hospital,0.37,Kashmere Gate,6,1,22.6,0.203,1.008,0.595,-0.02
L0019,Karol Bagh Block C,Central,28.65307,77.23753,market-zone,arterial,1.09,1.17,LNJP Hospital,0.98,Chandni Chowk,10,2,21.3,-1.037,1.317,1.197,0.488
L0020,Hauz Qazi Colony,Central,28.65263,77.20037,market-zone,collector,0.86,1.48,Ganga Ram Hospital,1.47,Karol Bagh,9,2,33.9,-0.159,0.684,0.828,-0.487
L0021,Prasad Nagar Block C,Central,28.65268,77.20865,residential,arterial,1.37,1.92,RML Hospital,1.66,Karol Bagh,4,6,33.4,0.068,1.025,0.82,-1.019
L0022,Prasad Nagar Phase 2,Central,28.64129,77.22927,residential,local,1.45,0.53,LNJP Hospital,1.38,Chandni Chowk,3,6,26.0,-0.145,0.969,1.142,-0.138
L0023,Ranjit Nagar Phase 1,Central,28.64671,77.23927,residential,collector,1.44,0.64,LNJP Hospital,1.55,Chandni Chowk,3,6,22.9,-0.431,0.685,0.714,0.858
L0024,Darya Ganj Extension,Central,28.65267,77.22463,residential,collector,0.38,1.45,LNJP Hospital,0.31,Chandni Chowk,1,6,20.6,1.036,1.258,1.006,0.345
L0025,Kamla Market Phase 2,Central,28.64928,77.21632,market-zone,collector,1.49,1.94,RML Hospital,1.4,Chandni Chowk,9,4,23.1,0.676,0.987,0.617,0.695
L0026,Kamla Market Block C,Central,28.6402,77.23509,market-zone,arterial,1.73,0.45,LNJP Hospital,1.09,Chandni Chowk,9,4,20.1,-0.202,1.239,0.963,-0.696
L0027,Connaught Place,New Delhi,28.62107,77.20612,commercial,local,1.35,2.1,RML Hospital,0.87,Central Secretariat,5,2,13.1,0.485,1.113,1.106,-0.619
L0028,Barakhamba Road,New Delhi,28.63018,77.21131,residential,local,1.68,1.66,RML Hospital,0.94,Rajiv Chowk,4,7,23.0,-0.243,0.869,1.496,-0.166
L0029,Mandir Marg,New Delhi,28.60705,77.19265,residential,highway-adjacent,0.46,3.5,RML Hospital,2.65,Central Secretariat,3,8,17.1,0.33,0.771,1.395,0.546
L0030,Chanakya Puri,New Delhi,28.62391,77.21492,residential,local,2.2,2.25,RML Hospital,1.0,Central Secretariat,3,3,19.4,1.687,0.731,0.507,0.64
L0031,Parliament Street,New Delhi,28.62677,77.20432,residential,arterial,2.1,1.58,RML Hospital,2.09,Central Secretariat,1,7,21.5,1.753,0.857,0.865,-0.05
L0032,Tilak Marg,New Delhi,28.60928,77.22008,residential,local,2.04,3.81,RML Hospital,1.45,Central Secretariat,3,7,11.9,0.868,0.908,1.705,-0.43
L0033,Tughlak Road,New Delhi,28.59867,77.21569,residential,local,0.96,3.41,Safdarjung Hospital,1.85,Central Secretariat,3,4,17.5,-1.583,0.922,1.282,0.556
L0034,South Avenue,New Delhi,28.6038,77.22489,residential,local,2.01,4.73,Safdarjung Hospital,1.66,Central Secretariat,4,4,13.7,1.428,1.62,0.291,-0.109
L0035,Barakhamba Road Phase 1,New Delhi,28.61191,77.22888,residential,collector,1.78,3.56,LNJP Hospital,2.24,Central Secretariat,1,8,15.9,-0.436,1.082,0.688,-0.007
L0036,Barakhamba Road Extension,New Delhi,28.62675,77.21397,residential,local,0.87,1.47,RML Hospital,0.72,Rajiv Chowk,3,4,23.7,-0.469,0.937,0.936,0.59
L0037,Mandir Marg Extension,New Delhi,28.62808,77.22601,residential,local,0.92,2.39,LNJP Hospital,1.13,Rajiv Chowk,3,4,18.2,-0.264,1.364,2.203,-0.514
L0038,Parliament Street Extension,New Delhi,28.60111,77.19953,residential,collector,1.2,3.9,Safdarjung Hospital,2.46,Central Secretariat,1,6,15.6,-0.004,0.531,0.334,0.336
L0039,Tilak Marg Block C,New Delhi,28.62941,77.21102,residential,collector,0.49,1.4,RML Hospital,0.67,Rajiv Chowk,2,3,10.7,0.252,1.239,0.93,0.389
L0040,Tughlak Road Sector Extension,New Delhi,28.60299,77.19095,residential,local,1.9,3.68,RML Hospital,2.85,Central Secretariat,1,5,16.3,1.846,1.241,1.602,0.132
L0041,South Avenue Block B,New Delhi,28.61261,77.22283,residential,collector,1.85,3.58,RML Hospital,1.38,Central Secretariat,4,5,15.3,0.537,1.53,0.639,0.183
L0042,South Avenue Phase 2,New Delhi,28.62648,77.22161,mixed,collector,1.55,2.45,RML Hospital,0.66,Rajiv Chowk,4,5,18.9,-0.671,1.273,1.762,-0.623
L0043,Subzi Mandi,North,28.67279,77.21249,residential,collector,1.58,4.19,LNJP Hospital,1.97,Kashmere Gate,2,4,24.7,0.391,1.318,1.171,-1.138
L0044,Civil Lines,North,28.6887,77.22466,residential,local,1.14,5.38,LNJP Hospital,2.27,Vishwavidyalaya,3,3,18.3,0.507,0.975,0.611,-0.857
L0045,Kashmiri Gate,North,28.67766,77.2095,transit-hub,arterial,0.67,5.03,Ganga Ram Hospital,2.58,Kashmere Gate,6,4,19.4,1.103,1.049,1.448,-0.039
L0046,Timarpur,North,28.7148,77.22681,residential,collector,0.41,6.87,Fortis Shalimar Bagh,2.77,Vishwavidyalaya,4,4,29.3,0.517,1.172,1.634,0.231
L0047,Roop Nagar,North,28.70036,77.22713,mixed,highway-adjacent,2.36,6.52,LNJP Hospital,1.71,Vishwavidyalaya,3,4,33.0,-1.298,0.663,1.054,-1.445
L0048,Gulabi Bagh,North,28.70986,77.19429,residential,arterial,2.05,4.01,Fortis Shalimar Bagh,2.67,Vishwavidyalaya,4,8,18.9,-2.24,1.059,0.584,-0.444
L0049,Burari,North,28.67392,77.19036,residential,arterial,2.35,3.5,Ganga Ram Hospital,2.87,Karol Bagh,4,7,32.6,-1.48,0.358,1.119,0.175
L0050,Sadar Bazar,North,28.67094,77.20287,market-zone,collector,1.18,3.46,Ganga Ram Hospital,2.37,Kashmere Gate,7,4,30.1,-2.187,0.421,0.723,0.055
L0051,Kotwali,North,28.6767,77.22994,mixed,arterial,1.26,4.15,LNJP Hospital,1.21,Kashmere Gate,4,4,21.3,0.127,0.61,1.224,-1.212
L0052,Wazirabad,North,28.68201,77.21437,residential,local,0.74,5.34,LNJP Hospital,1.67,Vishwavidyalaya,1,7,31.0,0.811,0.627,1.116,0.029
L0053,Sarai Rohilla,North,28.70557,77.20587,mixed,collector,2.18,4.87,Fortis Shalimar Bagh,1.18,Vishwavidyalaya,2,3,28.8,0.817,0.597,1.611,-0.068
L0054,Subzi Mandi Phase 1,North,28.68847,77.20651,residential,local,1.04,6.04,Ganga Ram Hospital,1.04,Vishwavidyalaya,1,3,20.3,0.57,0.497,0.822,-0.692
L0055,Subzi Mandi Sector Extension,North,28.67498,77.21116,residential,local,2.47,4.17,Ganga Ram Hospital,2.26,Kashmere Gate,1,7,28.1,-1.565,0.625,0.887,-0.047
L0056,Kashmiri Gate Block A,North,28.70448,77.22496,transit-hub,collector,2.03,6.46,Fortis Shalimar Bagh,2.2,Vishwavidyalaya,6,3,19.2,-0.855,0.83,1.172,-0.394
L0057,Roop Nagar Phase 2,North,28.71581,77.19232,residential,local,1.78,3.73,Fortis Shalimar Bagh,2.5,Vishwavidyalaya,4,4,20.9,-0.159,1.373,1.077,-0.238
L0058,Gulabi Bagh Block C,North,28.70753,77.22833,residential,collector,0.66,7.17,Fortis Shalimar Bagh,2.35,Vishwavidyalaya,3,7,25.4,0.405,1.358,1.335,-0.485
L0059,Sadar Bazar Extension,North,28.68939,77.2048,market-zone,local,0.97,5.35,Fortis Shalimar Bagh,1.34,Vishwavidyalaya,7,2,20.0,-0.666,0.822,0.788,0.389
L0060,Bhajanpura,North East,28.68524,77.28433,mixed,highway-adjacent,1.06,2.99,GTB Hospital,2.4,Shahdara,5,2,33.3,0.106,1.824,0.629,0.075
L0061,Gokulpuri,North East,28.70684,77.29516,mixed,collector,1.87,2.34,GTB Hospital,4.42,Shahdara,4,2,21.2,-2.727,1.06,1.466,0.516
L0062,Harsh Vihar,North East,28.68916,77.2749,transit-hub,arterial,0.41,3.81,GTB Hospital,2.6,Shahdara,5,2,31.3,-1.344,1.99,1.118,-0.585
L0063,Jafrabad,North East,28.6854,77.29105,residential,highway-adjacent,0.54,2.61,GTB Hospital,2.31,Shahdara,4,5,22.1,1.894,1.087,0.548,-0.463
L0064,Karawal Nagar,North East,28.70582,77.29035,residential,collector,0.63,2.65,GTB Hospital,4.05,Shahdara,3,7,28.5,-0.155,1.459,0.824,-0.717
L0065,Khajuri Khas,North East,28.67349,77.29847,residential,local,2.32,3.41,GTB Hospital,1.2,Shahdara,3,3,29.5,0.156,1.307,1.275,0.703
L0066,Nand Nagri,North East,28.68769,77.25778,mixed,collector,2.31,5.43,LNJP Hospital,4.11,Kashmere Gate,5,4,33.2,2.2,0.54,0.843,-0.036
L0067,Seelampur,North East,28.70825,77.2968,residential,collector,1.09,2.22,GTB Hospital,4.17,Shahdara,1,3,19.2,1.911,0.297,0.968,-0.515
L0068,Shastri Park,North East,28.70539,77.28519,residential,local,1.86,2.77,GTB Hospital,3.88,Shahdara,4,7,25.4,0.066,1.576,1.676,0.477
L0069,Sonia Vihar,North East,28.67707,77.28851,transit-hub,collector,1.94,3.25,GTB Hospital,1.37,Shahdara,3,2,24.6,1.98,0.974,0.729,-0.287
L0070,Welcome,North East,28.6894,77.28625,residential,local,2.45,2.65,GTB Hospital,2.57,Shahdara,2,7,33.0,-1.077,0.934,1.003,0.833
L0071,Bhajanpura Extension,North East,28.69983,77.28116,residential,local,1.5,3.23,GTB Hospital,3.26,Shahdara,2,5,24.1,0.447,0.769,1.826,0.147
L0072,Bhajanpura Block C,North East,28.68088,77.28902,mixed,local,0.7,2.97,GTB Hospital,1.39,Shahdara,5,4,26.9,0.278,0.299,1.039,-0.046
L0073,Karawal Nagar Colony,North East,28.69681,77.25177,residential,arterial,2.37,5.99,GTB Hospital,4.16,Kashmere Gate,3,4,25.9,-0.204,1.344,1.173,-0.74
L0074,Karawal Nagar Phase 1,North East,28.68993,77.28688,residential,collector,1.53,2.93,GTB Hospital,2.14,Shahdara,3,8,26.8,0.962,0.542,0.795,-0.519
L0075,Khajuri Khas Phase 2,North East,28.70578,77.26446,mixed,local,2.2,5.15,GTB Hospital,5.34,Shahdara,2,5,26.7,-1.076,1.125,0.849,0.375
L0076,Khajuri Khas Sector Extension,North East,28.67093,77.25778,mixed,arterial,2.17,3.75,LNJP Hospital,2.87,Kashmere Gate,3,4,18.2,0.879,1.156,1.416,0.378
L0077,Nand Nagri Colony,North East,28.69623,77.28272,mixed,arterial,1.2,3.21,GTB Hospital,3.5,Shahdara,5,2,19.5,-0.023,1.163,0.208,0.299
L0078,Seelampur Block C,North East,28.69704,77.27851,residential,local,2.22,3.64,GTB Hospital,3.69,Shahdara,3,5,32.2,0.486,1.206,0.982,-0.591
L0079,Welcome Colony,North East,28.67614,77.29711,mixed,local,0.99,3.3,GTB Hospital,1.25,Shahdara,3,2,18.4,-0.095,1.268,1.331,-1.315
L0080,Welcome Extension,North East,28.68822,77.25658,mixed,highway-adjacent,0.38,5.22,LNJP Hospital,3.5,Kashmere Gate,2,2,31.1,-1.862,0.846,1.46,1.346
L0081,Ashok Vihar,North West,28.68252,77.17003,transit-hub,local,1.19,4.12,Fortis Shalimar Bagh,2.41,Netaji Subhash Place,4,3,15.4,0.032,0.367,0.246,0.271
L0082,Model Town,North West,28.71761,77.15313,mixed,collector,0.97,0.38,Fortis Shalimar Bagh,2.34,Netaji Subhash Place,4,2,19.5,0.936,0.812,0.373,-0.091
L0083,Jahangirpuri,North West,28.70581,77.14285,residential,collector,1.53,1.97,Fortis Shalimar Bagh,1.38,Netaji Subhash Place,2,4,22.0,-0.688,1.418,1.195,-0.573
L0084,Mukherjee Nagar,North West,28.68404,77.14194,mixed,arterial,1.58,4.1,Fortis Shalimar Bagh,1.84,Netaji Subhash Place,2,4,14.7,1.245,1.113,1.075,-0.978
L0085,Keshav Puram,North West,28.71135,77.14027,residential,collector,0.69,1.82,Fortis Shalimar Bagh,2.18,Pitampura,4,3,19.1,-0.393,1.086,1.451,0.854
L0086,Rani Bagh,North West,28.70802,77.17652,residential,collector,1.38,1.93,Fortis Shalimar Bagh,3.09,Netaji Subhash Place,4,7,18.5,-0.568,0.613,0.718,0.226
L0087,Shalimar Bagh,North West,28.68675,77.13639,residential,local,0.83,3.57,Rohini Hospital (BSA),1.97,Pitampura,1,8,14.1,-1.653,1.066,1.217,-0.859
L0088,Subhash Place,North West,28.73018,77.17682,mixed,collector,0.49,2.41,Fortis Shalimar Bagh,4.44,Netaji Subhash Place,5,2,19.8,1.08,1.341,1.349,-0.293
L0089,Pitampura,North West,28.72828,77.15445,residential,collector,1.16,1.13,Fortis Shalimar Bagh,3.59,Rohini Sector 18,2,3,18.5,2.485,1.762,1.402,0.435
L0090,Adarsh Nagar,North West,28.71847,77.15226,mixed,arterial,1.5,1.0,Fortis Shalimar Bagh,2.54,Netaji Subhash Place,5,3,18.1,0.037,0.697,0.887,0.041
L0091,Ashok Vihar Colony,North West,28.71848,77.17916,transit-hub,arterial,1.47,2.35,Fortis Shalimar Bagh,3.45,Netaji Subhash Place,4,2,20.3,0.36,1.148,1.144,-0.943
L0092,Jahangirpuri Phase 2,North West,28.69058,77.14296,residential,local,0.79,3.15,Fortis Shalimar Bagh,0.81,Netaji Subhash Place,4,4,11.7,-0.486,1.014,1.008,0.002
L0093,Keshav Puram Sector Extension,North West,28.69703,77.17751,residential,local,1.69,2.93,Fortis Shalimar Bagh,2.51,Netaji Subhash Place,1,3,20.2,1.969,1.178,0.614,0.012
L0094,Rani Bagh Block B,North West,28.73714,77.14382,residential,local,2.46,2.49,Fortis Shalimar Bagh,3.14,Rohini Sector 18,4,5,19.0,-0.878,1.442,1.555,0.203
L0095,Rani Bagh Block A,North West,28.73869,77.17185,residential,local,0.99,3.19,Fortis Shalimar Bagh,5.25,Netaji Subhash Place,4,3,23.6,-0.94,1.611,0.564,0.191
L0096,Shalimar Bagh Block A,North West,28.69879,77.17393,residential,local,1.23,2.58,Fortis Shalimar Bagh,1.94,Netaji Subhash Place,1,4,11.7,0.072,1.367,1.34,-0.611
L0097,Subhash Place Colony,North West,28.72094,77.1672,mixed,collector,1.0,0.84,Fortis Shalimar Bagh,2.8,Netaji Subhash Place,4,4,16.9,-0.457,1.265,0.418,-0.87
L0098,Subhash Place Block B,North West,28.71464,77.1666,residential,collector,1.49,0.82,Fortis Shalimar Bagh,2.79,Netaji Subhash Place,4,5,16.8,0.511,0.467,1.406,0.652
L0099,Adarsh Nagar Block B,North West,28.70981,77.13156,residential,collector,0.85,2.39,Rohini Hospital (BSA),1.1,Rohini Sector 18,1,3,15.6,-1.589,0.169,1.264,-0.806
L0100,Adarsh Nagar Extension,North West,28.68805,77.16419,residential,collector,1.49,3.0,Fortis Shalimar Bagh,1.47,Netaji Subhash Place,2,8,20.4,0.837,1.187,0.606,-0.114
L0101,Moti Nagar,West,28.64519,77.10747,residential,arterial,0.78,4.05,Deen Dayal Upadhyay Hospital,1.35,Rajouri Garden,2,8,21.3,-0.826,1.009,0.702,0.121
L0102,Naraina,West,28.6567,77.11032,commercial,collector,2.14,3.77,Deen Dayal Upadhyay Hospital,1.75,Rajouri Garden,6,2,22.0,0.245,0.643,1.355,0.401
L0103,Punjabi Bagh,West,28.66044,77.11762,mixed,local,1.0,3.38,Deen Dayal Upadhyay Hospital,1.83,Rajouri Garden,5,2,23.8,-0.424,1.107,1.015,-0.594
L0104,Rajouri Garden,West,28.66864,77.11924,residential,local,0.46,3.58,Deen Dayal Upadhyay Hospital,2.92,Rajouri Garden,3,7,24.0,-0.153,1.254,1.229,0.475
L0105,Tilak Nagar,West,28.64289,77.10139,residential,local,2.5,4.4,Deen Dayal Upadhyay Hospital,2.38,Janakpuri West,3,8,11.5,0.059,0.467,1.142,0.088
L0106,Kirti Nagar,West,28.66902,77.12046,commercial,arterial,1.68,3.35,Deen Dayal Upadhyay Hospital,2.37,Rajouri Garden,4,1,13.4,0.56,1.211,0.966,0.392
L0107,Hari Nagar,West,28.66994,77.07343,residential,highway-adjacent,1.16,6.03,Rohini Hospital (BSA),4.46,Janakpuri West,4,4,23.3,-1.115,0.777,0.626,-0.227
L0108,Vikaspuri,West,28.66215,77.12268,mixed,arterial,0.68,2.84,Deen Dayal Upadhyay Hospital,1.54,Rajouri Garden,3,2,18.2,0.689,0.764,1.24,0.14
L0109,Mayapuri,West,28.64307,77.10691,commercial,highway-adjacent,2.01,3.53,Deen Dayal Upadhyay Hospital,1.41,Rajouri Garden,5,3,21.5,0.583,1.48,1.05,0.983
L0110,Janakpuri,West,28.64737,77.10003,residential,collector,1.75,4.23,Deen Dayal Upadhyay Hospital,2.23,Rajouri Garden,2,6,19.3,-0.889,0.945,1.222,-0.772
L0111,Moti Nagar Phase 2,West,28.65398,77.09045,residential,local,0.77,5.64,Deen Dayal Upadhyay Hospital,2.95,Janakpuri West,4,5,21.8,0.571,1.08,1.602,-0.373
L0112,Moti Nagar Phase 1,West,28.63259,77.09734,residential,collector,2.28,5.19,Deen Dayal Upadhyay Hospital,1.44,Janakpuri West,4,5,15.5,-2.254,1.171,0.302,0.672
L0113,Punjabi Bagh Extension,West,28.63058,77.12364,mixed,collector,1.34,2.68,Deen Dayal Upadhyay Hospital,1.99,Rajouri Garden,3,4,23.8,1.031,0.52,1.471,0.167
L0114,Punjabi Bagh Sector Extension,West,28.63726,77.12839,residential,local,1.81,1.81,Deen Dayal Upadhyay Hospital,1.62,Rajouri Garden,1,7,16.2,0.787,0.67,1.89,0.474
L0115,Tilak Nagar Block B,West,28.66875,77.11363,mixed,local,1.58,3.64,Deen Dayal Upadhyay Hospital,2.99,Rajouri Garden,5,3,22.0,1.103,0.862,1.265,0.311
L0116,Hari Nagar Sector Extension,West,28.65343,77.08018,residential,highway-adjacent,0.94,6.14,Deen Dayal Upadhyay Hospital,2.6,Janakpuri West,2,3,14.5,0.213,0.985,1.53,0.518
L0117,Vikaspuri Phase 2,West,28.63405,77.12963,mixed,collector,0.56,2.1,Deen Dayal Upadhyay Hospital,2.09,Rajouri Garden,5,4,18.0,0.932,1.124,0.63,0.238
L0118,Vikaspuri Block A,West,28.63047,77.07838,residential,arterial,0.39,7.03,Deen Dayal Upadhyay Hospital,1.03,Janakpuri West,1,4,22.2,-0.205,0.768,0.924,-0.534
L0119,Delhi Cantt,South West,28.58807,77.10325,transit-hub,arterial,1.18,7.73,Deen Dayal Upadhyay Hospital,5.41,Janakpuri West,5,4,16.7,-1.587,1.205,0.683,-0.619
L0120,Sagarpur,South West,28.56005,77.10583,residential,collector,1.25,9.64,Safdarjung Hospital,5.22,Dwarka Sector 21,4,4,23.5,-0.291,0.83,0.513,0.111
L0121,Kapashera,South West,28.60941,77.12612,residential,arterial,0.32,4.96,Deen Dayal Upadhyay Hospital,4.52,Rajouri Garden,1,6,18.2,0.218,0.874,0.331,0.456
L0122,R.K. Puram,South West,28.59479,77.09897,residential,local,2.37,7.28,Deen Dayal Upadhyay Hospital,3.93,Janakpuri West,1,6,17.5,-0.014,1.397,1.26,0.282
L0123,Palam Village,South West,28.57877,77.13491,mixed,collector,2.15,7.27,Safdarjung Hospital,7.78,INA,5,5,16.6,1.049,0.721,0.954,0.418
L0124,Vasant Vihar,South West,28.56201,77.06781,transit-hub,highway-adjacent,1.74,12.52,Deen Dayal Upadhyay Hospital,1.56,Dwarka Sector 21,6,4,11.7,-0.592,1.051,0.908,0.846
L0125,Vasant Kunj,South West,28.57616,77.07557,residential,arterial,0.31,10.61,Deen Dayal Upadhyay Hospital,3.01,Dwarka Sector 21,3,6,14.8,-1.025,0.952,0.395,-0.104
L0126,Kishan Garh,South West,28.59701,77.13295,residential,arterial,0.53,5.72,Deen Dayal Upadhyay Hospital,6.12,Rajouri Garden,2,7,15.0,0.712,0.273,1.453,-1.585
L0127,Sarojini Nagar,South West,28.56952,77.06332,market-zone,collector,2.45,11.8,Deen Dayal Upadhyay Hospital,1.92,Dwarka Sector 21,6,1,18.3,2.462,1.695,0.86,0.428
L0128,Safdarjung Enclave,South West,28.57868,77.10422,residential,local,1.96,8.42,Deen Dayal Upadhyay Hospital,5.27,Dwarka Sector 21,1,4,19.4,-0.831,0.586,1.458,0.343
L0129,Delhi Cantt Phase 2,South West,28.59247,77.13179,transit-hub,arterial,1.92,6.22,Deen Dayal Upadhyay Hospital,6.34,Janakpuri West,6,3,23.7,-0.046,0.4,0.872,0.285
L0130,Sagarpur Extension,South West,28.6071,77.06634,mixed,local,1.24,9.3,Deen Dayal Upadhyay Hospital,3.75,Janakpuri West,5,5,19.2,0.435,0.589,0.252,-0.265
L0131,R.K. Puram Block B,South West,28.58418,77.13763,residential,collector,0.42,6.95,Safdarjung Hospital,7.46,Janakpuri West,1,3,11.7,-1.826,1.003,0.98,0.209
L0132,R.K. Puram Phase 1,South West,28.58482,77.13088,residential,local,0.68,7.28,Deen Dayal Upadhyay Hospital,6.37,Janakpuri West,2,5,10.9,1.703,0.575,1.03,-0.876
L0133,Palam Village Block C,South West,28.57007,77.06676,residential,highway-adjacent,0.98,11.9,Deen Dayal Upadhyay Hospital,2.17,Dwarka Sector 21,3,6,15.5,-0.829,0.966,1.331,0.66
L0134,Palam Village Sector Extension,South West,28.58208,77.09335,mixed,arterial,1.07,8.98,Deen Dayal Upadhyay Hospital,5.25,Dwarka Sector 21,5,4,10.7,3.844,1.173,0.669,0.741
L0135,Kishan Garh Colony,South West,28.57111,77.0866,residential,local,2.11,10.34,Deen Dayal Upadhyay Hospital,3.59,Dwarka Sector 21,3,4,21.6,1.136,0.639,1.293,0.105
L0136,Kishan Garh Phase 2,South West,28.57939,77.07225,residential,local,0.68,10.63,Deen Dayal Upadhyay Hospital,3.84,Dwarka Sector 21,2,8,20.4,0.212,0.895,0.689,0.303
L0137,Safdarjung Enclave Block A,South West,28.58633,77.12252,residential,local,0.34,6.91,Deen Dayal Upadhyay Hospital,6.19,Janakpuri West,1,8,21.2,0.015,1.398,0.694,0.01
L0138,Safdarjung Enclave Extension,South West,28.56436,77.12693,residential,local,1.5,7.55,Safdarjung Hospital,6.57,Dwarka Sector 21,4,5,14.7,-0.989,0.666,0.72,1.138
L0139,Hauz Khas,South,28.53334,77.20991,residential,collector,0.35,0.97,Max Hospital Saket,1.56,Saket,2,7,15.0,-0.267,0.885,1.444,-0.693
L0140,Greater Kailash,South,28.48525,77.2016,residential,local,0.6,5.22,Max Hospital Saket,4.46,Saket,3,5,11.6,-0.884,1.138,0.448,1.05
L0141,Mehrauli,South,28.52282,77.22328,residential,collector,0.59,1.02,Max Hospital Saket,2.01,Saket,4,6,14.9,-0.761,0.931,1.129,1.444
L0142,C.R. Park,South,28.53505,77.19007,mixed,arterial,1.61,2.53,Max Hospital Saket,2.34,Hauz Khas,5,3,11.8,1.039,1.429,0.791,-1.473
L0143,Lodhi Colony,South,28.5146,77.18315,residential,collector,1.2,3.28,Max Hospital Saket,2.63,Saket,2,6,12.2,0.266,1.086,0.58,-0.208
L0144,Sangam Vihar,South,28.52659,77.20719,transit-hub,collector,2.39,1.03,Max Hospital Saket,0.1,Saket,6,2,15.6,-2.353,1.29,0.534,0.18
L0145,Saket,South,28.50222,77.19355,mixed,highway-adjacent,0.59,3.61,Max Hospital Saket,2.58,Saket,4,5,23.0,2.318,1.0,1.332,0.488
L0146,Defence Colony,South,28.52725,77.22504,residential,arterial,1.12,0.92,Max Hospital Saket,1.75,Saket,1,8,12.2,1.086,1.093,1.048,1.026
L0147,Malviya Nagar,South,28.50621,77.18827,residential,local,1.77,3.18,Max Hospital Saket,3.07,Saket,4,4,19.5,-0.397,0.501,1.538,-1.036
L0148,Maidan Garhi,South,28.52565,77.19085,residential,local,1.58,2.13,Max Hospital Saket,1.43,Saket,1,6,14.6,-1.822,0.897,0.535,0.79
L0149,Tigri,South,28.52493,77.21618,mixed,arterial,1.84,0.79,Max Hospital Saket,0.85,Saket,5,3,15.1,0.957,1.031,0.469,-0.375
L0150,Neb Sarai,South,28.485,77.21682,residential,local,1.62,5.17,Max Hospital Saket,4.89,Saket,1,3,13.8,1.767,1.91,1.231,0.469
L0151,Greater Kailash Block C,South,28.50922,77.1825,residential,highway-adjacent,1.81,4.18,Max Hospital Saket,3.41,Saket,1,6,23.9,-0.261,1.715,1.374,-1.339
